Time,Time Since Power-On,Charge-Enable Output Active,Discharge-Enable Output Active,DCL Reduced Due To SOC,CCL Reduced Due To SOC,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC),CANBUS 1 Flags,CANBUS 1 Errors Present,Average battery temperature
Wed May 21 19:51:58 PDT 2025,1064.000000,0.000000,1.000000,0.000000,0.000000,21.100000,44.700000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:03 PDT 2025,1069.000000,0.000000,1.000000,0.000000,0.000000,20.600000,44.700000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:08 PDT 2025,1074.000000,0.000000,1.000000,0.000000,0.000000,20.600000,44.700000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:13 PDT 2025,1079.000000,0.000000,1.000000,0.000000,0.000000,20.400000,44.700000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:18 PDT 2025,1085.000000,0.000000,1.000000,0.000000,0.000000,20.600000,44.800000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:23 PDT 2025,1090.000000,0.000000,1.000000,0.000000,0.000000,20.600000,44.800000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:28 PDT 2025,1095.000000,0.000000,1.000000,0.000000,0.000000,20.500000,44.800000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:33 PDT 2025,1100.000000,0.000000,1.000000,0.000000,0.000000,20.700000,44.800000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:38 PDT 2025,1105.000000,0.000000,1.000000,0.000000,0.000000,21.400000,44.800000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:44 PDT 2025,1110.000000,0.000000,1.000000,0.000000,0.000000,21.300000,44.900000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:49 PDT 2025,1115.000000,0.000000,1.000000,0.000000,0.000000,20.600000,44.900000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:54 PDT 2025,1120.000000,0.000000,1.000000,0.000000,0.000000,20.500000,44.900000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:52:59 PDT 2025,1125.000000,0.000000,1.000000,0.000000,0.000000,20.600000,44.900000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:53:04 PDT 2025,1130.000000,0.000000,1.000000,0.000000,0.000000,21.500000,44.900000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:53:09 PDT 2025,1136.000000,0.000000,1.000000,0.000000,0.000000,20.800000,44.900000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:53:14 PDT 2025,1141.000000,0.000000,1.000000,0.000000,0.000000,21.300000,45.000000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:53:19 PDT 2025,1146.000000,0.000000,1.000000,0.000000,0.000000,21.400000,45.000000,80.000000,1.000000,0.000000,24.000000
Wed May 21 19:53:24 PDT 2025,1151.000000,0.000000,1.000000,0.000000,0.000000,21.300000,45.000000,80.000000,1.000000,0.000000,24.000000
