Time,Time Since Power-On,Charge-Enable Output Active,Discharge-Enable Output Active,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC)
Wed May 21 17:29:39 PDT 2025,3749.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:39 PDT 2025,3749.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:39 PDT 2025,3749.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:39 PDT 2025,3749.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:39 PDT 2025,3749.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:39 PDT 2025,3749.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:40 PDT 2025,3750.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:41 PDT 2025,3751.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
